source_act,amended_act,carrier_article,carrier_section,provision_type,mechanism,screening_confidence,intermediary_validated,matched_pattern,matched_keyword,evidence_text
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"Considering the growing relevance of sustainability-related risks and taking into account that small and medium-sized undertakings whose securities are admitted to trading on a regulated market in the Union comprise a significant proportion of all undertakings whose securities are admitted to trading on a regulated market in the Union, in order to ensure investor protection, it is appropriate to require that also small and medium-sized undertakings, except micro undertakings, whose securities ar"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,The sustainability reporting standards for small and medium-sized undertakings will constitute a reference for undertakings that are within the scope of the requirements introduced by this amending Directive regarding the level of sustainability information that they could reasonably request from small and medium-sized undertakings that are suppliers or clients in the value chains of such undertakings. Small and medium-sized undertakings whose securities are admitted to trading on a regulated ma
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Member States should be free to assess the impact of their national transposition measures on small and medium-sized undertakings, in order to ensure that they are not disproportionately affected, with specific attention to be given to micro-undertakings and to avoiding an unnecessary administrative burden. Member States should consider introducing measures to support small and medium-sized undertakings in applying the sustainability reporting standards."
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Directive 2004/109/EC of the European Parliament and of the Council (17) applies to undertakings whose securities are admitted to trading on a regulated market in the Union. In order to ensure that undertakings whose securities are admitted to trading on a regulated market in the Union, including third-country issuers, fall under the same sustainability reporting requirements, Directive 2004/109/EC should contain the necessary cross-references to any requirement on sustainability reporting in th"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Point (i) of the first subparagraph of Article 23(4) and the fourth subparagraph of Article 23(4) of Directive 2004/109/EC empower the Commission to adopt measures to set up a mechanism for the determination of equivalence of information required under that Directive, and for the establishment of general equivalence criteria regarding accounting standards, respectively. The third subparagraph of Article 23(4) of Directive 2004/109/EC also empowers the Commission to take the necessary decisions o"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Article 19a(3) and Article 29a(3) of Directive 2013/34/EU exempt all subsidiary undertakings from the obligation to report non-financial information where such undertakings and their subsidiary undertakings are included in the consolidated management report of their parent undertaking, provided that report includes non-financial information reported pursuant to that Directive. It is necessary, however, to ensure that sustainability information is easily accessible for users, and to ensure that t"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Directive 2004/109/EC, as amended by this amending Directive, should provide for appropriate mechanisms to determine the equivalence of sustainability reporting standards, and undertakings whose securities are admitted to trading on a regulated market in the Union and undertakings whose securities are not admitted to trading on a regulated market in the Union should be required to report in accordance with the same sustainability reporting standards. In this context, the implementing acts adopte"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Article 23 of Directive 2013/34/EU exempts parent undertakings from the obligation to prepare consolidated financial statements and a consolidated management report where parent undertakings are subsidiary undertakings of another parent undertaking that complies with that obligation. It should be specified, however, that the exemption regime for consolidated financial statements and consolidated management reports operates independently from the exemption regime for consolidated sustainability r"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Credit institutions and insurance undertakings play a key role in the transition towards a fully sustainable and inclusive economic and financial system in line with the Green Deal. They can have significant positive and negative impacts via their lending, investment and underwriting activities. Credit institutions and insurance undertakings other than those that are required to comply with Directive 2013/34/EU, including cooperatives and mutual undertakings, should therefore be subject to susta"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"The criterion of net turnover needs to be adapted for credit institutions and for insurance undertakings by referring to the definition of net turnover in Council Directives 86/635/EEC (19) and 91/674/EEC (20) instead of the general definition laid down in Directive 2013/34/EU. To ensure coherence with the reporting requirements of Directive 86/635/EEC, Member States should be able to choose not to apply sustainability reporting requirements to credit institutions listed in Article 2(5) of Direc"
32022L2464,,,,recital,reportar,high,0,reporting (obligation|requirement)s?,reporting requirements,"The list of sustainability matters on which undertakings are required to report should be as consistent as possible with the definition of the term ‘sustainability factors’ laid down in Regulation (EU) 2019/2088, and should prevent a mismatch between information required by data users and information to be reported by undertakings. That list should also correspond to the needs and expectations of users and undertakings, who often use the terms ‘environmental’, ‘social’ and ‘governance’ as a mean"
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"Article 19a(1) and Article 29a(1) of Directive 2013/34/EU require reporting not only on information to the extent necessary for an understanding of the undertaking’s development, performance and position, but also on information necessary for an understanding of the impact of the undertaking’s activities on environmental, social and employee matters, respect for human rights, anti-corruption and bribery matters. Those Articles therefore require undertakings to report both on the impacts of the a"
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"Article 19a(1) and Article 29a(1) of Directive 2013/34/EU require undertakings to disclose information about five reporting areas: business model; policies, including due diligence processes implemented; the outcome of those policies; risks and risk management; and key performance indicators relevant to the business. Article 19a(1) of Directive 2013/34/EU does not contain explicit references to other reporting areas that users of information consider relevant, some of which align with disclosure"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Directive 2013/34/EU does not require the disclosure of information on intangible resources other than intangible assets recognised in the balance sheet. It is widely recognised that information on intangible assets and other intangible factors, including internally generated intangible resources, is underreported, impeding the proper assessment of an undertaking’s development, performance and position, and the monitoring of investments. To enable investors to better understand the increasing ga"
32022L2464,,,,recital,reportar,high,0,reporting (obligation|requirement)s?,Reporting requirements,"It is not the objective of this amending Directive to require undertakings to disclose intellectual capital, intellectual property, know-how or the results of innovation that would qualify as trade secrets as defined in Directive (EU) 2016/943 of the European Parliament and of the Council (22). Reporting requirements provided for in this amending Directive should therefore be without prejudice to Directive (EU) 2016/943."
32022L2464,,,,recital,reportar,high,0,non-financial (report|statement),non-financial report,"Article 19a(1) and Article 29a(1) of Directive 2013/34/EU require undertakings to include in their non-financial reporting references to, and additional explanations of, amounts reported in the annual financial statements. Those Articles do not, however, require undertakings to make references to other information in the management report or to add additional explanations to that information. Thus, there is currently a lack of consistency between non-financial information reported and the rest o"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Article 19a(1) and Article 29a(1) of Directive 2013/34/EU require undertakings to provide a clear and reasoned explanation for not pursuing policies in relation to one or more of the matters listed in those Articles, where the undertaking does not do so. The different treatment of disclosures on the policies that undertakings may have, compared to the other reporting areas included in those Articles, has created confusion among reporting undertakings and has not helped to improve the quality of "
32022L2464,,,,recital,reportar,high,0,non-financial (report|statement),non-financial report,"Undertakings that fall under the scope of Article 19a(1) and Article 29a(1) of Directive 2013/34/EU may rely on national, Union-based or international reporting frameworks, and where they do so, they have to specify which frameworks they have relied upon. However, Directive 2013/34/EU does not require undertakings to use a common reporting framework or standard, and it does not prevent undertakings from choosing not to use any reporting framework or standards at all. As required by Article 2 of "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"On 17 June 2019, the Commission adopted its Guidelines on reporting climate-related information, containing additional guidelines, specifically on reporting climate-related information. Those Guidelines on reporting climate-related information explicitly incorporated the recommendations of the Task Force on Climate-related Financial Disclosures. Available evidence indicates that the Guidelines on non-financial reporting did not have a significant impact on the quality of non-financial reporting "
32022L2464,,,,recital,auditoria,low,0,\bassurance\b,assurance,"On 17 June 2019, the Commission adopted its Guidelines on reporting climate-related information, containing additional guidelines, specifically on reporting climate-related information. Those Guidelines on reporting climate-related information explicitly incorporated the recommendations of the Task Force on Climate-related Financial Disclosures. Available evidence indicates that the Guidelines on non-financial reporting did not have a significant impact on the quality of non-financial reporting "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"The development of mandatory common sustainability reporting standards is necessary to reach a situation in which sustainability information has a status comparable to that of financial information. The adoption of sustainability reporting standards by means of delegated acts would ensure harmonised sustainability reporting across the Union. Therefore, an undertaking would be compliant with the sustainability reporting requirements of Directive 2013/34/EU by reporting in accordance with the sust"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"No existing standard or framework satisfies the Union’s needs for sustainability reporting by itself. Information required by Directive 2013/34/EU needs to cover information relevant from each of the materiality perspectives, needs to cover all sustainability matters and needs to be aligned, where appropriate, with other obligations under Union law to disclose sustainability information, including obligations laid down in Regulations (EU) 2019/2088 and (EU) 2020/852. In addition, mandatory susta"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,The European Financial Reporting Advisory Group (EFRAG) is a non-profit association established under Belgian law that serves the public interest by providing advice to the Commission on the endorsement of international financial reporting standards. EFRAG has established a reputation as a European centre of expertise on corporate reporting and is well placed to foster coordination between Union sustainability reporting standards and international initiatives that seek to develop standards that 
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"In order to ensure high-quality standards that contribute to the European public good and meet the needs of undertakings and of users of the information reported, EFRAG should have sufficient public funding to ensure its independence. Its technical advice should be developed with proper due process, public oversight and transparency, and based on the expertise of a balanced representation of relevant stakeholders, including undertakings, investors, civil society organisations and trade unions, a"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"The European Securities and Markets Authority (ESMA), the European Banking Authority (EBA) and the European Insurance and Occupational Pensions Authority (EIOPA) play a role in drafting regulatory technical standards pursuant to Regulation (EU) 2019/2088 and there needs to be coherence between those regulatory technical standards and sustainability reporting standards. Under Regulation (EU) No 1095/2010 of the European Parliament and of the Council (24), ESMA also plays a role in promoting super"
32022L2464,,,,recital,auditoria,low,0,\baudit\w*,Auditing,"The European Securities and Markets Authority (ESMA), the European Banking Authority (EBA) and the European Insurance and Occupational Pensions Authority (EIOPA) play a role in drafting regulatory technical standards pursuant to Regulation (EU) 2019/2088 and there needs to be coherence between those regulatory technical standards and sustainability reporting standards. Under Regulation (EU) No 1095/2010 of the European Parliament and of the Council (24), ESMA also plays a role in promoting super"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"In order to foster democratic control, scrutiny and transparency, the Commission should, at least once a year, consult the European Parliament, and jointly the Member State Expert Group on Sustainable Finance and the Accounting Regulatory Committee on EFRAG’s work programme as regards the development of sustainability reporting standards."
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards should be coherent with other Union law. Those standards should in particular be aligned with the disclosure requirements laid down in Regulation (EU) 2019/2088, and they should take account of underlying indicators and methodologies set out in the various delegated acts adopted pursuant to Regulation (EU) 2020/852, disclosure requirements applicable to benchmark administrators pursuant to Regulation (EU) 2016/1011 of the European Parliament and of the Council "
32022L2464,,,,recital,ranking_rating,high,0,benchmark administrator,benchmark administrator,"Sustainability reporting standards should be coherent with other Union law. Those standards should in particular be aligned with the disclosure requirements laid down in Regulation (EU) 2019/2088, and they should take account of underlying indicators and methodologies set out in the various delegated acts adopted pursuant to Regulation (EU) 2020/852, disclosure requirements applicable to benchmark administrators pursuant to Regulation (EU) 2016/1011 of the European Parliament and of the Council "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards should take account of the Guidelines on non-financial reporting and the Guidelines on reporting climate-related information. They should also take account of other reporting requirements in Directive 2013/34/EU that are not directly related to sustainability, with the aim of providing the users of the reported information with a better understanding of the development, performance, position and impact of the undertaking, by maximising the links between the sus"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards should be proportionate and should not impose an unnecessary administrative burden on companies that are required to use them. In order to minimise disruption for undertakings that already report sustainability information, sustainability reporting standards should take account of existing standards and frameworks for sustainability reporting and accounting where appropriate. Such existing standards and frameworks include the Global Reporting Initiative, the Su"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Union standards should take account of any sustainability reporting standards developed under the auspices of International Financial Reporting Standards Foundation. To avoid unnecessary regulatory fragmentation that could have negative consequences for undertakings operating globally, Union sustainability reporting standards should contribute to the process of convergence of sustainability reporting standards at global level, by supporting the work of the International Sustainability Standards "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"The Transparent Project sponsored under the Programme for the Environment and Climate Action (LIFE programme) established by Regulation (EU) 2021/783 of the European Parliament and of the Council (30) is developing the first natural capital accounting methodology, which will make existing methods easier to compare and more transparent while lowering the threshold for companies to adopt and use the systems in support of future-proofing their business. The Natural Capital Protocol is also an impor"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards should also take account of internationally recognised principles and frameworks on responsible business conduct, corporate social responsibility, and sustainable development, including the SDGs, the UN Guiding Principles on Business and Human Rights, the OECD Guidelines for Multinational Enterprises, the OECD Due Diligence Guidance for Responsible Business Conduct and related sectoral guidelines, the Global Compact, the International Labour Organization’s (ILO"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"It should be ensured that the information reported by undertakings in accordance with the sustainability reporting standards meets the needs of users and does not place a disproportionate burden in terms of effort and cost on the reporting undertakings and those that are indirectly affected as part of the value chain of those undertakings. The sustainability reporting standards should therefore specify the information that undertakings are to disclose on all major environmental factors, includin"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"For reasons of coherence, it is appropriate to use a similar classification to identify the environmental factors that should be addressed by sustainability reporting standards. The sustainability reporting standards should consider and specify any geographical or other contextual information that undertakings should disclose to provide an understanding of their principal impacts on sustainability matters and the principal risks to the undertaking arising from sustainability matters. When specif"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"With regard to scope 3 emissions, a priority for users is to receive information about which scope 3 categories are significant in the case of the undertaking, and about the emissions in each of those scope 3 categories. The sustainability reporting standards should therefore specify the information undertakings should report with regard to such matters."
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Achieving a climate-neutral and circular economy without diffuse pollution requires the full mobilisation of all economic sectors. Reducing energy use and increasing energy efficiency is key in this respect, as energy is used across supply chains. Energy aspects should therefore be duly considered in sustainability reporting standards, in particular in relation to environmental matters, including climate-related matters."
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards should specify the information that undertakings should disclose on social factors, including working conditions, social partner involvement, collective bargaining, equality, non-discrimination, diversity and inclusion, and human rights. Such information should cover the impacts of the undertaking on people, including workers, and on human health. The information that undertakings disclose about human rights should include information about forced labour and ch"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards that address social factors should specify the information that undertakings should disclose with regard to the principles of the European Pillar of Social Rights that are relevant to businesses, including equal opportunities for all and working conditions. The Action Plan on the European Pillar of Social Rights, adopted by the Commission on 4 March 2021, calls for stronger requirements on undertakings to report on social issues. The sustainability reporting st"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards that address training and skills development should specify, amongst other things, information to be reported about the proportion and breakdown of workers participating in training. Sustainability reporting standards that address collective bargaining should specify, amongst other things, information to be disclosed about the existence of works councils as well as the existence of collective agreements and the proportion of workers covered by such agreements. "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Users need information about governance factors. Governance factors that are most relevant to users are listed by authoritative reporting frameworks such as the Global Reporting Initiative and the Task Force on Climate-related Financial Disclosures, as well as by authoritative global frameworks such as the Global Governance Principles of the International Corporate Governance Network and the G20/OECD Principles of Corporate Governance. Sustainability reporting standards should specify the inform"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"The sustainability reporting standards should promote a more integrated view of all the information published by undertakings in the management report to provide users of that information with a better understanding of the development, performance, position and impact of the undertaking. The sustainability reporting standards should distinguish, as necessary, between information that undertakings should disclose when reporting at individual level and the information that undertakings should disc"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,Member States should ensure that sustainability reporting is carried out in compliance with workers’ rights to information and consultation. The management of the undertaking should therefore inform workers’ representatives at the appropriate level and discuss with them relevant information and the means of obtaining and verifying sustainability information. This implies for the purpose of this amending Directive the establishment of dialogue and exchange of views between workers’ representative
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Undertakings in the same sector are often exposed to similar sustainability-related risks, and they often have similar impacts on society and the environment. Comparisons between undertakings in the same sector are especially valuable to investors and other users of sustainability information. Sustainability reporting standards should therefore specify both information that undertakings in all sectors should disclose and information that undertakings should disclose depending on their sector of "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,Sustainability reporting,"Sustainability reporting standards should also take account of the difficulties that undertakings may encounter in gathering information from actors throughout their value chain, especially from suppliers that are small or medium-sized undertakings and from suppliers in emerging markets and economies. Sustainability reporting standards should specify disclosures concerning value chains that are proportionate and relevant to the scale and complexity of the activities of the undertakings, and the "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"To meet the information needs of users in a timely manner, and in particular given the urgency to meet the information needs of financial market participants subject to the requirements laid down in the delegated acts adopted pursuant to Article 4(6) and (7) of Regulation (EU) 2019/2088, the Commission should adopt a first set of sustainability reporting standards by means of delegated acts by 30 June 2023. That set of sustainability reporting standards should specify the information that undert"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Directive 2013/34/EU does not require that undertakings provide their management reports in a digital format, which hinders the findability and usability of the reported information. Users of sustainability information increasingly expect such information to be findable, comparable and machine-readable in digital formats. Member States should be able to require that undertakings subject to the sustainability reporting requirements of Directive 2013/34/EU make their management reports available o"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,A digital taxonomy for the Union sustainability reporting standards will be necessary to allow the reported information to be tagged in accordance with those sustainability reporting standards. These requirements should feed into the work on digitalisation announced by the Commission in its Communication of 19 February 2020 entitled ‘A European strategy for data’ and in its Communication of 24 September 2020 entitled ‘Digital Finance Strategy for the EU’. These requirements would also complement
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"To allow for the inclusion of the reported sustainability information in the ESAP, Member States should ensure that undertakings whose securities are not admitted to trading on a regulated market in the Union publish their management report, including sustainability reporting, in the electronic reporting format specified in Article 3 of Delegated Regulation (EU) 2019/815."
32022L2464,,,,recital,reportar,high,0,non-financial (report|statement),non-financial statement,"Article 19a(4) of Directive 2013/34/EU enables Member States to exempt undertakings from including in the management report the non-financial statement required under Article 19a(1) of that Directive. Member States are allowed to do so where the undertaking concerned prepares a separate report that is published together with the management report in accordance with Article 30 of that Directive, or where that report is made publicly available on the undertaking’s website within a reasonable perio"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Such obligation would also help to clarify the role of national competent authorities in supervising sustainability reporting, as part of the management report prepared in accordance with Directive 2004/109/EC. In addition, undertakings required to report sustainability information should in no case be exempted from the obligation to publish the management report, as it is important to ensure that sustainability information is publicly available."
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Article 20 of Directive 2013/34/EU requires undertakings whose securities are admitted to trading on a regulated market in the Union to include a corporate governance statement in their management report, which has to contain, among other information, a description of the diversity policy applied by the undertaking in relation to its administrative, management and supervisory bodies. Article 20 of Directive 2013/34/EU leaves flexibility to undertakings to decide what aspects of diversity they re"
32022L2464,,,,recital,auditoria,low,0,\bassurance\b,assurance,"Article 20 of Directive 2013/34/EU requires undertakings whose securities are admitted to trading on a regulated market in the Union to include a corporate governance statement in their management report, which has to contain, among other information, a description of the diversity policy applied by the undertaking in relation to its administrative, management and supervisory bodies. Article 20 of Directive 2013/34/EU leaves flexibility to undertakings to decide what aspects of diversity they re"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Article 33 of Directive 2013/34/EU requires Member States to ensure that the members of the administrative, management and supervisory bodies of an undertaking have collective responsibility for ensuring that the annual financial statements, the consolidated financial statements, the management report, the consolidated management report, the corporate governance statement and the consolidated corporate governance statement are drawn up and published in accordance with the requirements of that Di"
32022L2464,,,,recital,auditoria,high,0,(EU ETS )?(lead )?auditor,auditor,"The assurance profession distinguishes between limited assurance engagements and reasonable assurance engagements. The conclusion of a limited assurance engagement is usually provided in a negative form of expression by stating that no matter has been identified by the practitioner to conclude that the subject matter is materially misstated. In a limited assurance engagement, the auditor performs fewer tests than in a reasonable assurance engagement. The amount of work for a limited assurance en"
